,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Weights_1,0.35108312410510134,0.6209188841023179,0.27154139369413555,0.7610655077131812,0.4836301161959464,0.8074816453321416,0.4134050855684771,0.9585760628927456,0.9902525566734937,0.4755561195862833,0.6928289650797769,0.8258100274295233,0.8770482250432812,0.8624477996710688,0.049881396159585534,0.07508501758409258,0.04651451059998135,0.6168251564184588,0.2173364144180845,0.3251717852683559,0.470181917004295,0.19144877986837805,0.9178722036072348,0.7274100304967334,0.12687565102103537,0.181066242560736,0.9076773961345522,0.8952429633595647,0.8046944315060703,0.4995981827613195,0.3814827715859138,0.39870895872067025,0.22113628239992167,0.7035416847263669,0.4877870540099659,0.49082361682104414,0.39438484202257007,0.5019846430458917,0.5345799092628012,0.8779190355933071,0.2415508450763525,0.6592680071738447,0.64366887705898,0.8538444717376241,0.328935792377691,0.22528923050713612,0.14511481146900873,0.8835111229974862,0.48710992990479074,0.34636123966291676,0.1528332093061765,0.562133888907307,0.28706584645648947,0.43218152273905763,0.5381090778400329,0.0885760506624299,0.5371829851219758,0.5536969652849808,0.5059747156815859,0.7679992102435175,0.5270811604140316,0.7945232842856894,0.3606885737183009,0.21752916623126084,0.35099479810947787,0.6512632670733991,0.243081092331771,0.16247198052132594,0.2601784596098964,0.9121933206071628,0.7299012251128937,0.5671944536977227,0.4645673668255714,0.33875474319627996,0.0746923211044952,0.3127787705516738,0.5304454399472048,0.6109554057636066,0.48087045201223755,0.4395850904484724,0.8314113695738199,0.9538993294924673,0.18976253859536862,0.8638925307061889,0.022637696035220145,0.7135340231523576,0.15149866800020406,0.3139343106666832,0.9945587068339173,0.220916178805583,0.42631280603240174,0.06307774863338522,0.44375422483057136,0.6252936043119423,0.2901634968556214,0.4770044024789517,0.07736590518608377,0.32151397562868034,0.3674332883659175,0.5986203773843852
Biases_1,0.2862229480754035,0.9753192154607866,0.7379447175870048,0.41931465378326094,0.8393893050515261,0.5906525042031362,0.5944758629794736,0.1632687596210627,0.5147618854358034,0.2534884841605054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_2,0.9032927699747295,0.6945545397843823,0.24246930714319137,0.7619835198300521,0.5133355153417832,0.10985556865371893,0.5966256369926092,0.8868453474596695,0.3517750201343077,0.7229300814528582,0.199490262018023,0.19461942077845118,0.152259158469922,0.21800647368723458,0.7528182983828452,0.14090254979360628,0.2214798680530078,0.20513586679350782,0.8561403189898695,0.4083675321286623,0.8348489299687859,0.6816852268716974,0.5837654121860114,0.4479132173625563,0.17592544575958524,0.6245029517590754,0.9872039335131592,0.6514025992451974,0.1464504788599046,0.3231778883788593,0.9325766609609405,0.7352883548384422,0.5844142488723845,0.5325875382277798,0.6302427848884586,0.8058243143838424,0.5428217933072316,0.6296139250628,0.45084240837336864,0.8288830968877148,0.8890660842162804,0.8059968716186959,0.8910175367554626,0.5791578338211671,0.43067627909565964,0.13347582136551495,0.019525274208012755,0.9916265750270427,0.8525312894502286,0.2101999878809243,0.1324992414510755,0.23127886733649594,0.6437487448219281,0.8166253732278791,0.8655214831507808,0.25943128293790385,0.12042955654188625,0.26932932574865154,0.38677646113396846,0.8577084770801403,0.8175619602541334,0.45147844640032675,0.4590441592979746,0.6904532370984342,0.7819075184513787,0.20637883219173325,0.9605435230607998,0.4627393451290266,0.33751947536931004,0.20811332600126697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biases_2,0.2810051272025925,0.8094710205821648,0.7411161632495207,0.6413405505966567,0.3446535135747296,0.47797783861275367,0.8391439135751233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_3,0.3287205875648318,0.08404710639252289,0.5634997889298835,0.5802422087325847,0.1869791542778948,0.08034567387593228,0.42801374514516877,0.8384568797163443,0.5952498694364227,0.2930754173747797,0.28337242326386547,0.6031041462579294,0.47179338025370043,0.7631380424513076,0.5731673642533741,0.6129495809251285,0.861995488159613,0.04426695398850766,0.5716212787672879,0.18426069763516006,0.4642369044544491,0.16436492301644112,0.3667799023585486,0.8337393722035193,0.2387377906536533,0.8013164069486286,0.4539293421481848,0.15902880169720568,0.473398648807117,0.8687208040276096,0.29516145720838394,0.09813148473703381,0.25072868685531435,0.5641480612861078,0.3678092506657632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biases_3,0.05449691490229791,0.28283368551124255,0.8182976319054663,0.13376415941279307,0.817054163855233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_4,0.5823991994735946,0.0019521910797836162,0.08048377988117561,0.8299358239764033,0.5615136493855063,0.5268548955262153,0.2930425262247214,0.12525284456322794,0.5786633149948835,0.4625865832629136,0.5278582993559866,0.6055971493676272,0.28445545207365786,0.6433447443747587,0.7694567957483534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biases_4,0.27748126274516616,0.12151989551248299,0.5049017728455134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_5,0.9025609144481308,0.523625036848589,0.9729854181695582,0.5842951409168271,0.02814149233843921,0.2656259825161743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FitnessValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
