,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Weights_1,0.40385792501856643,0.6032778419709254,0.17832573472362,0.9439120796469831,0.44632152403716596,0.9243752314684217,0.04239204010022657,0.18182030269738592,0.6596150484917025,0.4715947404210793,0.8867592060386035,0.5062795334510364,0.8376214359820022,0.18092727174327083,0.39888772247163373,0.2778985719737388,0.3731047095697396,0.14769312322971495,0.36006866445787367,0.8344448165565675,0.8399146642407719,0.33636516409929484,0.9546071294915519,0.8065266908027287,0.33194842255213486,0.6312223438733194,0.5153886781631438,0.9756549539684453,0.6358856316952327,0.6765769835867109,0.2596059543216318,0.7265770416191587,0.5830667764990615,0.9118888563514402,0.8031506194316019,0.7370620553634577,0.5445647367273455,0.7017371299823958,0.6728620363723985,0.7066703992993618,0.6386165966169876,0.9500617468043172,0.22055847712684495,0.056934263904401594,0.30456556100932297,0.8496680252637397,0.8177761196632117,0.2715321791130708,0.3990448128029166,0.5415032527108108,0.4246927829757021,0.0528729648344608,0.2004142726363689,0.051265707692997875,0.9590830835499249,0.6809888719057334,0.16945568103016995,0.9373804606379474,0.2953390175056083,0.2961603067951172,0.23447148979245813,0.8362277552894081,0.8999554624214899,0.5797109161799411,0.6694715099936556,0.8696793174376756,0.2967445164949224,0.7941513560294459,0.11334697040563901,0.8667549597600525,0.9990422363218644,0.3217456043757192,0.09882640187566283,0.9202447956111217,0.3424616603730676,0.7684886828453685,0.7469086808706448,0.47723306308556135,0.2496935780955981,0.3726732416268256,0.2577180773133647,0.8776386013557663,0.5129323380956676,0.8522434378964148,0.2794498104509894,0.4219676370152724,0.5196148239312275,0.3224965695420836,0.8510477535412109,0.46412857688975095,0.2873386572732002,0.40255870847318675,0.4343935395500428,0.9125131274560522,0.5578457386066346,0.45470967358009184,0.24837833362837936,0.2688342238547623,0.5150498759951564,0.9189719745845188
biasesOne,0.8694924953825005,0.06213424579460802,0.2137602928030532,0.07435573625152025,0.35083078688128655,0.5558707466793144,0.7962561597573057,0.3761841891123666,0.2163581556527635,0.37502046808808553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_2,0.13384491324597603,0.01642006026338172,0.5414760784381025,0.5235923649475444,0.29599570880476544,0.1798233589264261,0.2183958022614102,0.46443776027063055,0.883449047760192,0.15658089015488263,0.6735655253643178,0.5252087516973821,0.1635310579377377,0.1291468717313462,0.5083859661095004,0.05209812688304638,0.017206604911216172,0.9443245580421182,0.8860236711298778,0.3200773016372518,0.12682505338873806,0.8088812917754444,0.6443093827509904,0.5843987953838655,0.32708007348833046,0.6489432805989302,0.4115574043799788,0.42678629774019483,0.5389122516403112,0.9767278818723262,0.998323685445132,0.6931046264298868,0.9636788843741165,0.03750671535728667,0.58943144109932,0.08986596268017655,0.8705469245651586,0.4641304626698334,0.03617730667392227,0.6215384606305523,0.36151830823641573,0.986919741713973,0.2728084125322119,0.6893712562061655,0.652226152995058,0.8419430604103112,0.5731620736339021,0.2748810948017597,0.2361210162718015,0.10078433167979195,0.26028134555214844,0.4225736645271735,0.0738813953264601,0.3898349276172476,0.13604691494356735,0.27144125777005423,0.8843502929569182,0.5258950348772872,0.17439255937595732,0.5880665410807037,0.2901219127592678,0.03473998023255498,0.680835195224936,0.2899089978433218,0.9231652605940032,0.5250219912603385,0.5817497046943785,0.5009985695296608,0.7648377078436147,0.4572040785103403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biasesTwo,0.6368803434236127,0.3441776142543783,0.8514577728409105,0.5493077798425997,0.8921254084138831,0.43629781262964173,0.4188077905434161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_3,0.5425980747096558,0.8484222586449537,0.5610493087583395,0.771323749801378,0.23059678377035886,0.21822679487066243,0.8490729989796716,0.6385592635926911,0.980300446831268,0.5700622825425568,0.4207238661275191,0.6242982377689685,0.25040666165838255,0.30664445284758746,0.8908065918375779,0.6739719352812964,0.1888343253892888,0.4355015058408396,0.584048980058206,0.7230771052855661,0.16163272028935394,0.08690504844790692,0.9465681611583915,0.6011102225573007,0.9473560851389949,0.9185366747603696,0.8738716054976226,0.2538716791573349,0.6372488036400211,0.6205000768510844,0.3128008440863961,0.7845653393539823,0.4100762209358507,0.928697560413332,0.4339574660972766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biasesThree,0.21186714990546562,0.566504100613221,0.9003384230751701,0.38242739185251406,0.19936564095994136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_4,0.8025960849275277,0.8112810742039634,0.06014753879278967,0.2915815779913461,0.5602188788736533,0.2860085722936885,0.3859113272672575,0.5702478024734646,0.48364835140104057,0.22806811837370367,0.6340314165376685,0.5194681908376485,0.667664812039871,0.026342687622483818,0.7980111560069172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biasesFour,0.883211930153841,0.9455112816662811,0.5869799570300138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_5,0.5020564865973055,0.428055495413022,0.7478872369128413,0.954308551388075,0.01776722054300972,0.5111023191331786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FitnessValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
