,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Weights_1,0.17155055312166412,0.7134707522806033,0.5221606428908706,0.2621137225330157,0.542459199631386,0.8908881366224902,0.16268797688883807,0.9163705909595202,0.45667048400397914,0.031372912752064,0.07562348634477978,0.9265361252377262,0.3185707875246153,0.9043503456553433,0.6998173543696457,0.3559770044030187,0.7350281997849026,0.6351480423224434,0.9996753002351546,0.21386102564349452,0.5380071990301757,0.8135524498853041,0.3617182906850027,0.04821194248278238,0.7606870401169037,0.23654423650777812,0.41036193019947986,0.3190795394616095,0.4103936108028581,0.38725327039364477,0.12245588993875012,0.6045575205822952,0.2674541832023324,0.1345918016941896,0.458802436755521,0.4763010763129839,0.3507045350378317,0.7632528860975394,0.949953511180831,0.4332368766925304,0.7282641254587754,0.9255506904559665,0.23856523023247866,0.7375449473218574,0.30922495691860674,0.38198489897915255,0.41644027178706744,0.5831588077286421,0.5708695277596388,0.5218144539471045,0.8477217506605373,0.6446067244909486,0.9716758990948562,0.09019789059064243,0.4334158451518234,0.008416787964243722,0.8543189054486802,0.7970132127545655,0.7230793600307658,0.9037477947609396,0.192050172408739,0.46635714511476334,0.9560229003446773,0.7107324943849821,0.014479980575669016,0.8874430248006004,0.8790058377089546,0.05502861864439479,0.3818562039391168,0.12065440723452148,0.6091543144776526,0.10626413172639348,0.10924982375180747,0.7272385984337155,0.5308532332417388,0.23393053290852328,0.5247352228346412,0.31906729830724245,0.5538964152224222,0.8642972316121587,0.5682190279351822,0.326985396933972,0.9296601888986458,0.2140309224263114,0.06647748927729646,0.05632901365708176,0.06915239362369752,0.4970406784533652,0.46461997502799013,0.7748180573907795,0.1991767408563483,0.5125827596506157,0.5789152013548237,0.4991618285301124,0.922227492644388,0.16153173446114943,0.32572292053706453,0.6344481278464114,0.3835717649385927,0.29929084496904346
Biases_1,0.6368166812005172,0.8996181928487855,0.23311792731634207,0.9881197980703367,0.2908127334118845,0.25538747732413314,0.07385005174305825,0.07997930872836023,0.5089794970056004,0.5893966780085835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_2,0.8326487011825124,0.7576900511627536,0.02201172471904722,0.6539376239804309,0.9049414388801424,0.7606038432046704,0.4254258842232419,0.8397095067603446,0.07350349656742972,0.3504375020595215,0.7809565202312565,0.19083210070617784,0.11035829772659289,0.2563495237288661,0.852726573834505,0.3691480382641653,0.1823589867625215,0.4219971488476103,0.716488945001351,0.9960571860022384,0.5115610348578414,0.2874133017934657,0.26988444769513464,0.5948635398157768,0.628390521454541,0.5237576567371057,0.9557978403989763,0.3080968781219715,0.7935814867981748,0.18751494602478935,0.42092971611466123,0.5091373465168305,0.5628116593701379,0.6957325155374857,0.08528981623986054,0.8629620152845199,0.5213179651997272,0.9527571448437808,0.5994243342714144,0.8716476895702351,0.8146215084222351,0.049346378304728544,0.6103988224638724,0.5134413552040804,0.9142898462170318,0.2446258675175753,0.03237420296744142,0.809480474500157,0.9610835830331371,0.31585870456320986,0.6615413136326033,0.8822991231330349,0.894731026029998,0.4104630465503074,0.005186764743147498,0.8912262944191108,0.4769572178795568,0.49337159969579425,0.21432475376778626,0.4196208861411972,0.647882493341754,0.06247117856004569,0.8123402794831363,0.780562452949168,0.589059501372271,0.7071696672661913,0.6052670665315834,0.44423744622353856,0.36246429226739796,0.9014591065574888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biases_2,0.6993849692296925,0.8703835761807934,0.407081520741693,0.1787672385364929,0.16693458505359415,0.6110529669296478,0.06815834211606642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_3,0.6276433065832524,0.5634068191958584,0.5905547418782366,0.8862759671657582,0.08801873245402048,0.9651195736623138,0.818788983878016,0.538460565614318,0.8720715479296981,0.6042101753109991,0.41645661315129057,0.03927835220161524,0.5481482905427344,0.7167269730839946,0.7700607059780877,0.6263288102097291,0.24417115711563198,0.08153600118087967,0.6817175695953573,0.5357240221047779,0.8766348358803532,0.48146113421920866,0.39515244242593506,0.5321216978811714,0.17337073979615825,0.3187138952050036,0.9957283791982502,0.5241224011216922,0.696450044583503,0.3580674272177209,0.49306392906761676,0.7715935481046252,0.9744834128579432,0.65466155663612,0.19007173068393335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biases_3,0.3820816024366862,0.7679278906375938,0.06361402401534,0.26670570950045647,0.25741958745809146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_4,0.1107757945792458,0.8254729432043955,0.79536771819182,0.5347799098056946,0.6932957977467302,0.9313905189670978,0.671053660277907,0.9699544497334279,0.7954521788233376,0.6744981450828665,0.4364321499677669,0.8114046912991941,0.06137463034212387,0.4086825692424194,0.46896723590495537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biases_4,0.4302497840422266,0.9311512755095975,0.844034477309889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights_5,0.05130906257862644,0.04422256811102321,0.9021782196660119,0.7326412156955286,0.7606903551394528,0.45665130444253466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FitnessValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
